1.182.189.170	1.187.189.228
195.139.101.117	198.144.101.142
198.139.101.120	198.144.101.184
198.139.101.142	208.144.101.97
198.139.101.144	201.144.118.130
198.139.101.97	203.144.96.186
201.140.108.130	207.145.33.159
203.140.96.186	217.145.219.11
207.43.33.119	207.48.15.132
207.30.219.11	207.35.244.203
207.226.5.132	207.231.129.136
207.8.244.203	217.13.144.253
207.152.129.96	207.157.72.102
207.125.144.253	207.130.52.82
207.49.62.59	207.54.52.137
207.173.52.82	217.178.168.206
207.173.52.97	210.178.253.249
207.135.168.206	210.140.213.239
210.171.243.249	210.176.251.74
210.12.213.239	220.17.157.34
210.12.251.34	210.17.127.105
210.233.157.34	211.238.179.252
210.254.117.105	214.254.224.229
211.1.179.252	226.6.225.127
214.111.224.189	216.116.250.172
216.111.225.127	216.116.230.30
216.159.240.172	216.164.106.134
216.219.230.30	226.224.198.178
216.83.106.94	216.88.119.161
216.9.198.178	216.14.45.102
216.79.109.161	216.84.44.62
216.83.45.102	226.88.97.149
216.93.44.22	216.98.221.168
216.81.97.149	220.86.17.253
216.112.211.168	220.117.223.49
220.98.17.253	230.103.198.226
220.234.223.9	230.239.145.143
220.65.198.226	221.70.221.217
220.163.145.143	221.168.235.156
221.210.211.217	222.215.44.61
221.225.235.156	222.230.10.41
221.158.44.21	222.163.10.123
